input,output
actually i would prefer for six people # ,sure is there anything else to update
instead could it be with vietnamese food # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation in seoul in a moderate price range with cantonese cuisine for two people # ,api_call
instead could it be in a expensive price range # ,sure is there anything else to update
instead could it be with vietnamese food # ,sure is there anything else to update
actually i would prefer for eight people # ,sure is there anything else to update
instead could it be in hanoi # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you make a restaurant reservation in a expensive price range in tokyo with vietnamese cuisine for two # ,api_call
actually i would prefer in hanoi # ,sure is there anything else to update
instead could it be with japanese food # ,sure is there anything else to update
actually i would prefer for eight # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you book a table for four people in bangkok with korean cuisine in a expensive price range # ,api_call
instead could it be in a cheap price range # ,sure is there anything else to update
instead could it be for six # ,sure is there anything else to update
instead could it be in seoul # ,sure is there anything else to update
actually i would prefer with japanese cuisine # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation in a moderate price range for four with cantonese food in seoul # ,api_call
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer with japanese cuisine # ,sure is there anything else to update
actually i would prefer for six people # ,sure is there anything else to update
instead could it be in beijing # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation in a cheap price range in tokyo with cantonese food for six people # ,api_call
actually i would prefer in a expensive price range # ,sure is there anything else to update
actually i would prefer for eight # ,sure is there anything else to update
actually i would prefer with thai cuisine # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you book a table in a moderate price range for six people with thai food in hanoi # ,api_call
instead could it be in seoul # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer with japanese food # ,sure is there anything else to update
actually i would prefer for four people # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
i'd like to book a table in tokyo in a expensive price range for four with thai cuisine # ,api_call
actually i would prefer with cantonese food # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation in bangkok for six in a expensive price range with cantonese food # ,api_call
instead could it be with thai food # ,sure is there anything else to update
instead could it be in a moderate price range # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation for four people in a expensive price range with japanese cuisine in tokyo # ,api_call
instead could it be in a cheap price range # ,sure is there anything else to update
actually i would prefer with korean food # ,sure is there anything else to update
instead could it be in seoul # ,sure is there anything else to update
instead could it be for two # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table in a expensive price range in seoul for six people with japanese food # ,api_call
instead could it be in a moderate price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation in a expensive price range for eight people with korean cuisine in tokyo # ,api_call
instead could it be for two people # ,sure is there anything else to update
instead could it be in hanoi # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you make a restaurant reservation in a expensive price range in beijing for eight with cantonese cuisine # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
actually i would prefer in bangkok # ,sure is there anything else to update
actually i would prefer with thai cuisine # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table for eight people with korean cuisine in a expensive price range in tokyo # ,api_call
instead could it be in hanoi # ,sure is there anything else to update
actually i would prefer for four # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
i'd like to book a table in a moderate price range in seoul for four people with japanese cuisine # ,api_call
instead could it be with vietnamese cuisine # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer in hanoi # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation for six people in beijing in a expensive price range with korean cuisine # ,api_call
actually i would prefer in a moderate price range # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you book a table with vietnamese cuisine in hanoi in a expensive price range for two # ,api_call
instead could it be with korean food # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
may i have a table with cantonese cuisine for six people in seoul in a moderate price range # ,api_call
actually i would prefer in a expensive price range # ,sure is there anything else to update
instead could it be for eight # ,sure is there anything else to update
instead could it be in bangkok # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation in bangkok in a moderate price range for eight with thai cuisine # ,api_call
instead could it be for six people # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer in beijing # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you book a table in bangkok in a moderate price range with vietnamese cuisine for eight people # ,api_call
instead could it be in beijing # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you make a restaurant reservation in a moderate price range for eight in beijing with cantonese cuisine # ,api_call
instead could it be for six people # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer with vietnamese cuisine # ,sure is there anything else to update
actually i would prefer in seoul # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you book a table with japanese food for four in a moderate price range in seoul # ,api_call
instead could it be with thai cuisine # ,sure is there anything else to update
actually i would prefer for eight # ,sure is there anything else to update
actually i would prefer in tokyo # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you book a table in a moderate price range in hanoi with vietnamese cuisine for six # ,api_call
actually i would prefer with korean food # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
may i have a table with korean food in seoul for six in a expensive price range # ,api_call
instead could it be in hanoi # ,sure is there anything else to update
actually i would prefer with cantonese food # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
may i have a table for four in seoul in a cheap price range with japanese food # ,api_call
actually i would prefer in hanoi # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation for eight people in bangkok with korean cuisine in a expensive price range # ,api_call
actually i would prefer in hanoi # ,sure is there anything else to update
actually i would prefer for six people # ,sure is there anything else to update
actually i would prefer with cantonese cuisine # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table in a moderate price range in seoul for four with japanese cuisine # ,api_call
instead could it be in beijing # ,sure is there anything else to update
actually i would prefer with korean food # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you make a restaurant reservation with thai cuisine in a cheap price range in hanoi for two # ,api_call
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer for six # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation with japanese cuisine in seoul in a moderate price range for two # ,api_call
instead could it be in a expensive price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you book a table with vietnamese cuisine in seoul for eight people in a cheap price range # ,api_call
instead could it be in tokyo # ,sure is there anything else to update
instead could it be for two people # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
may i have a table for six in a cheap price range in beijing with vietnamese food # ,api_call
instead could it be in bangkok # ,sure is there anything else to update
actually i would prefer for two people # ,sure is there anything else to update
actually i would prefer with cantonese food # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation for six in a expensive price range with japanese cuisine in hanoi # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
actually i would prefer with vietnamese cuisine # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
may i have a table for eight people in bangkok in a cheap price range with japanese cuisine # ,api_call
instead could it be in a expensive price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation for two with korean cuisine in a cheap price range in beijing # ,api_call
actually i would prefer with thai cuisine # ,sure is there anything else to update
actually i would prefer in tokyo # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation for two in a moderate price range with japanese cuisine in tokyo # ,api_call
actually i would prefer in bangkok # ,sure is there anything else to update
instead could it be with vietnamese cuisine # ,sure is there anything else to update
instead could it be in a cheap price range # ,sure is there anything else to update
actually i would prefer for four people # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table for six in a cheap price range with cantonese cuisine in bangkok # ,api_call
actually i would prefer with vietnamese cuisine # ,sure is there anything else to update
actually i would prefer for eight # ,sure is there anything else to update
actually i would prefer in hanoi # ,sure is there anything else to update
actually i would prefer in a moderate price range # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
may i have a table with korean food for six in a expensive price range in seoul # ,api_call
instead could it be for two people # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation in tokyo in a expensive price range with cantonese food for two # ,api_call
instead could it be in a moderate price range # ,sure is there anything else to update
instead could it be for four # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
i'd like to book a table with japanese food in hanoi in a cheap price range for eight # ,api_call
instead could it be in a moderate price range # ,sure is there anything else to update
actually i would prefer in tokyo # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation for two in hanoi with korean food in a cheap price range # ,api_call
instead could it be for eight # ,sure is there anything else to update
instead could it be in a moderate price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
i'd like to book a table with korean cuisine for four in beijing in a cheap price range # ,api_call
instead could it be for two # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
i'd like to book a table for six people in hanoi with korean cuisine in a moderate price range # ,api_call
instead could it be in a expensive price range # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you book a table for four with japanese cuisine in bangkok in a cheap price range # ,api_call
actually i would prefer in a expensive price range # ,sure is there anything else to update
actually i would prefer for two people # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you make a restaurant reservation with korean cuisine in a expensive price range for four in bangkok # ,api_call
instead could it be with thai cuisine # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table in hanoi for four with cantonese food in a moderate price range # ,api_call
actually i would prefer in tokyo # ,sure is there anything else to update
instead could it be in a cheap price range # ,sure is there anything else to update
instead could it be for eight # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
may i have a table for four people in hanoi in a expensive price range with japanese food # ,api_call
actually i would prefer in seoul # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table in a moderate price range in seoul with cantonese food for two # ,api_call
instead could it be in a cheap price range # ,sure is there anything else to update
instead could it be in beijing # ,sure is there anything else to update
instead could it be for six # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table with korean food for two in beijing in a cheap price range # ,api_call
instead could it be for four # ,sure is there anything else to update
actually i would prefer with vietnamese cuisine # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation in hanoi for four with cantonese food in a moderate price range # ,api_call
instead could it be with japanese food # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation in a cheap price range in beijing with korean food for four people # ,api_call
actually i would prefer for two people # ,sure is there anything else to update
actually i would prefer with thai cuisine # ,sure is there anything else to update
instead could it be in seoul # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table in beijing in a cheap price range with vietnamese cuisine for two people # ,api_call
instead could it be with cantonese cuisine # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you book a table in tokyo with korean food in a moderate price range for six people # ,api_call
instead could it be for two # ,sure is there anything else to update
instead could it be with thai food # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation in a cheap price range with japanese food in bangkok for two # ,api_call
actually i would prefer in a expensive price range # ,sure is there anything else to update
actually i would prefer in hanoi # ,sure is there anything else to update
actually i would prefer with korean cuisine # ,sure is there anything else to update
instead could it be for six # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you book a table in a moderate price range with vietnamese food for four people in tokyo # ,api_call
instead could it be with cantonese cuisine # ,sure is there anything else to update
instead could it be in a cheap price range # ,sure is there anything else to update
instead could it be for six # ,sure is there anything else to update
instead could it be in beijing # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
may i have a table in tokyo with vietnamese food for four people in a moderate price range # ,api_call
instead could it be for six # ,sure is there anything else to update
instead could it be with korean food # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
instead could it be in beijing # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation for four people in seoul with vietnamese cuisine in a cheap price range # ,api_call
instead could it be for eight # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you make a restaurant reservation with korean cuisine in hanoi for six people in a expensive price range # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
instead could it be with cantonese cuisine # ,sure is there anything else to update
instead could it be for two # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation with korean cuisine in tokyo for six people in a moderate price range # ,api_call
actually i would prefer for four # ,sure is there anything else to update
instead could it be in bangkok # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
instead could it be with japanese food # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
may i have a table for eight in hanoi with cantonese cuisine in a cheap price range # ,api_call
instead could it be in seoul # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
may i have a table in bangkok with cantonese food for eight in a expensive price range # ,api_call
instead could it be with japanese food # ,sure is there anything else to update
actually i would prefer in a moderate price range # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation in bangkok in a expensive price range for four people with thai food # ,api_call
actually i would prefer with korean cuisine # ,sure is there anything else to update
instead could it be for eight people # ,sure is there anything else to update
instead could it be in a cheap price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
i'd like to book a table in seoul in a moderate price range for six with cantonese food # ,api_call
actually i would prefer for four people # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation in tokyo for four people in a expensive price range with korean food # ,api_call
instead could it be in beijing # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
i'd like to book a table for six people in seoul in a expensive price range with cantonese food # ,api_call
actually i would prefer in a moderate price range # ,sure is there anything else to update
instead could it be with thai cuisine # ,sure is there anything else to update
actually i would prefer for eight # ,sure is there anything else to update
actually i would prefer in tokyo # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation in hanoi for two people with japanese cuisine in a expensive price range # ,api_call
actually i would prefer for eight people # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
i'd like to book a table in a expensive price range for four people in bangkok with thai cuisine # ,api_call
instead could it be with korean food # ,sure is there anything else to update
instead could it be for eight # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation for two people with thai cuisine in a expensive price range in hanoi # ,api_call
instead could it be with korean food # ,sure is there anything else to update
actually i would prefer in seoul # ,sure is there anything else to update
instead could it be for six people # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
may i have a table in a moderate price range with vietnamese cuisine for six in hanoi # ,api_call
actually i would prefer with japanese food # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
may i have a table in seoul for four with cantonese cuisine in a expensive price range # ,api_call
actually i would prefer in hanoi # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
i'd like to book a table in a expensive price range in seoul with cantonese cuisine for four # ,api_call
instead could it be for eight people # ,sure is there anything else to update
actually i would prefer with vietnamese cuisine # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you make a restaurant reservation in a moderate price range in seoul with japanese food for eight people # ,api_call
actually i would prefer with cantonese food # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
actually i would prefer for four people # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
i'd like to book a table in a cheap price range for six people in hanoi with korean cuisine # ,api_call
actually i would prefer with thai cuisine # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer for four # ,sure is there anything else to update
instead could it be in seoul # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table for four people in hanoi with cantonese cuisine in a moderate price range # ,api_call
instead could it be in beijing # ,sure is there anything else to update
actually i would prefer with japanese food # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
may i have a table in a moderate price range for two in bangkok with korean cuisine # ,api_call
actually i would prefer in seoul # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
may i have a table in a moderate price range in seoul for two people with japanese food # ,api_call
instead could it be in bangkok # ,sure is there anything else to update
instead could it be for eight # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you book a table in tokyo for four people in a expensive price range with japanese cuisine # ,api_call
actually i would prefer in beijing # ,sure is there anything else to update
instead could it be for eight # ,sure is there anything else to update
instead could it be in a cheap price range # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table in a cheap price range in beijing with vietnamese food for two people # ,api_call
instead could it be in a moderate price range # ,sure is there anything else to update
actually i would prefer in hanoi # ,sure is there anything else to update
actually i would prefer with japanese food # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
i'd like to book a table for four people with japanese food in seoul in a cheap price range # ,api_call
actually i would prefer with thai food # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
actually i would prefer for two # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation in seoul with japanese cuisine for two people in a cheap price range # ,api_call
actually i would prefer for eight people # ,sure is there anything else to update
actually i would prefer in hanoi # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
i'd like to book a table for six in a expensive price range with korean cuisine in hanoi # ,api_call
instead could it be with cantonese food # ,sure is there anything else to update
actually i would prefer for eight people # ,sure is there anything else to update
instead could it be in a moderate price range # ,sure is there anything else to update
actually i would prefer in tokyo # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
i'd like to book a table in a moderate price range with korean cuisine for eight in beijing # ,api_call
actually i would prefer in a expensive price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you book a table for eight people with korean food in tokyo in a cheap price range # ,api_call
actually i would prefer in bangkok # ,sure is there anything else to update
actually i would prefer in a moderate price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
i'd like to book a table for six in a expensive price range in bangkok with cantonese cuisine # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
actually i would prefer with vietnamese food # ,sure is there anything else to update
actually i would prefer for four people # ,sure is there anything else to update
instead could it be in seoul # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
i'd like to book a table with vietnamese cuisine in a cheap price range for two in hanoi # ,api_call
instead could it be in a moderate price range # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you make a restaurant reservation for two people in seoul with korean food in a cheap price range # ,api_call
instead could it be in hanoi # ,sure is there anything else to update
actually i would prefer with cantonese cuisine # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation for four people with thai food in a moderate price range in tokyo # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation for four with japanese cuisine in a cheap price range in bangkok # ,api_call
instead could it be for eight # ,sure is there anything else to update
instead could it be with thai cuisine # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
instead could it be in tokyo # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you book a table for six people in a expensive price range in seoul with cantonese food # ,api_call
instead could it be in tokyo # ,sure is there anything else to update
instead could it be for two # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
may i have a table in seoul for six in a expensive price range with cantonese cuisine # ,api_call
actually i would prefer with vietnamese food # ,sure is there anything else to update
actually i would prefer for four # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
i'd like to book a table in hanoi with japanese food for two people in a moderate price range # ,api_call
actually i would prefer with cantonese cuisine # ,sure is there anything else to update
instead could it be in seoul # ,sure is there anything else to update
instead could it be for eight people # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
i'd like to book a table in a expensive price range in tokyo with vietnamese food for two people # ,api_call
instead could it be for eight people # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
may i have a table in a cheap price range with vietnamese food in hanoi for six people # ,api_call
instead could it be in a expensive price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation for four in tokyo with korean cuisine in a expensive price range # ,api_call
actually i would prefer in a moderate price range # ,sure is there anything else to update
actually i would prefer for eight # ,sure is there anything else to update
actually i would prefer with cantonese cuisine # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you make a restaurant reservation in a moderate price range with japanese cuisine for eight in tokyo # ,api_call
instead could it be in a expensive price range # ,sure is there anything else to update
instead could it be in hanoi # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
i'd like to book a table in a moderate price range for six with thai food in hanoi # ,api_call
instead could it be for four # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation in a cheap price range with vietnamese food for eight in seoul # ,api_call
actually i would prefer in beijing # ,sure is there anything else to update
actually i would prefer with korean food # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you book a table with korean cuisine in seoul in a expensive price range for four people # ,api_call
actually i would prefer with cantonese cuisine # ,sure is there anything else to update
instead could it be in a moderate price range # ,sure is there anything else to update
actually i would prefer in tokyo # ,sure is there anything else to update
actually i would prefer for six people # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
i'd like to book a table in tokyo for four with vietnamese cuisine in a cheap price range # ,api_call
actually i would prefer in a expensive price range # ,sure is there anything else to update
instead could it be for six people # ,sure is there anything else to update
actually i would prefer in seoul # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
i'd like to book a table in beijing for two people with korean food in a moderate price range # ,api_call
actually i would prefer for four # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you book a table with vietnamese cuisine in beijing in a cheap price range for six people # ,api_call
instead could it be for eight people # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
instead could it be with cantonese cuisine # ,sure is there anything else to update
instead could it be in bangkok # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you make a restaurant reservation for eight in beijing with thai food in a expensive price range # ,api_call
instead could it be for six people # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table in a cheap price range with japanese food for eight in hanoi # ,api_call
actually i would prefer in seoul # ,sure is there anything else to update
actually i would prefer with vietnamese cuisine # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
may i have a table for four people with japanese cuisine in bangkok in a moderate price range # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
may i have a table in a moderate price range with korean cuisine for six people in tokyo # ,api_call
actually i would prefer with vietnamese cuisine # ,sure is there anything else to update
instead could it be in bangkok # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table in a moderate price range in beijing for eight with cantonese cuisine # ,api_call
instead could it be in a cheap price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
may i have a table in a expensive price range in hanoi for eight with vietnamese cuisine # ,api_call
instead could it be for six people # ,sure is there anything else to update
actually i would prefer in bangkok # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you make a restaurant reservation with thai food in beijing in a cheap price range for four people # ,api_call
instead could it be in a moderate price range # ,sure is there anything else to update
instead could it be with japanese food # ,sure is there anything else to update
actually i would prefer for six # ,sure is there anything else to update
actually i would prefer in bangkok # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table in a moderate price range with vietnamese cuisine for two people in bangkok # ,api_call
instead could it be in a cheap price range # ,sure is there anything else to update
actually i would prefer for four # ,sure is there anything else to update
actually i would prefer in beijing # ,sure is there anything else to update
actually i would prefer with japanese cuisine # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
may i have a table in seoul with cantonese cuisine in a moderate price range for six people # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
actually i would prefer in bangkok # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
i'd like to book a table in a cheap price range in bangkok with thai food for two # ,api_call
instead could it be with japanese cuisine # ,sure is there anything else to update
actually i would prefer for six people # ,sure is there anything else to update
actually i would prefer in a moderate price range # ,sure is there anything else to update
instead could it be in tokyo # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you book a table in beijing for six people in a moderate price range with cantonese cuisine # ,api_call
instead could it be with korean food # ,sure is there anything else to update
instead could it be for eight # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
instead could it be in bangkok # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
i'd like to book a table for four in hanoi with japanese food in a moderate price range # ,api_call
instead could it be with thai food # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
may i have a table in a cheap price range for eight in bangkok with thai cuisine # ,api_call
actually i would prefer in a moderate price range # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
may i have a table in a moderate price range in beijing for four people with cantonese cuisine # ,api_call
instead could it be in bangkok # ,sure is there anything else to update
instead could it be for eight people # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
i'd like to book a table in a moderate price range with japanese food for two people in tokyo # ,api_call
instead could it be in seoul # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
instead could it be for six # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
may i have a table for eight in a expensive price range in bangkok with cantonese food # ,api_call
instead could it be for six people # ,sure is there anything else to update
actually i would prefer in beijing # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
may i have a table with korean cuisine in a expensive price range in bangkok for eight people # ,api_call
instead could it be with vietnamese food # ,sure is there anything else to update
instead could it be in a cheap price range # ,sure is there anything else to update
instead could it be in seoul # ,sure is there anything else to update
actually i would prefer for two people # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
may i have a table in tokyo with vietnamese food in a moderate price range for eight people # ,api_call
instead could it be for six people # ,sure is there anything else to update
instead could it be in seoul # ,sure is there anything else to update
instead could it be in a cheap price range # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
may i have a table in hanoi in a cheap price range with korean cuisine for two people # ,api_call
actually i would prefer for six people # ,sure is there anything else to update
instead could it be in seoul # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
i'd like to book a table with vietnamese food for eight in bangkok in a moderate price range # ,api_call
actually i would prefer in a expensive price range # ,sure is there anything else to update
no # ,api_call
you rock # ,you're welcome
can you book a table in hanoi with japanese food in a moderate price range for four # ,api_call
actually i would prefer for six # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
i'd like to book a table in a expensive price range with vietnamese cuisine for four in beijing # ,api_call
actually i would prefer in a moderate price range # ,sure is there anything else to update
actually i would prefer for six # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
can you make a restaurant reservation for eight people in bangkok with cantonese food in a moderate price range # ,api_call
instead could it be with thai cuisine # ,sure is there anything else to update
no # ,api_call
thanks # ,you're welcome
can you make a restaurant reservation in bangkok in a moderate price range with cantonese cuisine for eight # ,api_call
actually i would prefer in hanoi # ,sure is there anything else to update
instead could it be for two # ,sure is there anything else to update
no # ,api_call
thank you # ,you're welcome
i'd like to book a table in a moderate price range for eight in seoul with japanese food # ,api_call
